Model,DS 66,DS 67,DS 68,DS 69,DS 70,DS 71,DS 72,DS 73,DS 74,DS 75,DS 76,DS 77,DS 78,DS 79,DS 80,Overall
zero_shot_icl,0.50,0.28,0.44,0.46,0.07,0.25,0.33,0.50,0.49,0.72,0.39,0.61,0.41,0.53,0.48,0.43
zero_shot_CoT,0.62,0.45,0.53,0.51,0.55,0.50,0.49,0.62,0.49,0.66,0.42,0.48,0.41,0.68,0.48,0.53
zero_shot_baseline_4o-mini,0.60,0.52,0.47,0.43,0.45,0.50,0.33,0.59,0.49,0.48,0.31,0.52,0.31,0.74,0.48,0.48
zero_shot_baseline_3.5-turbo,0.70,0.41,0.56,0.60,0.55,0.47,0.49,0.69,0.49,0.69,0.36,0.13,0.15,0.05,0.05,0.42
PE,0.62,0.45,0.59,0.46,0.59,0.47,0.51,0.69,0.49,0.72,0.44,0.58,0.46,0.61,0.48,0.54
pe_4o-mini,0.60,0.48,0.50,0.46,0.48,0.36,0.33,0.56,0.60,0.48,0.47,0.48,0.33,0.71,0.48,0.49
icl_4o-mini,0.62,0.59,0.44,0.43,0.45,0.50,0.38,0.59,0.54,0.48,0.33,0.55,0.36,0.71,0.48,0.50
Cot_4o-mini,0.40,0.14,0.15,0.03,0.14,0.33,0.21,0.31,0.11,0.28,0.28,0.39,0.13,0.34,0.24,0.23
Cot_3.5-turbo,0.60,0.41,0.50,0.51,0.55,0.50,0.49,0.66,0.46,0.62,0.42,0.52,0.44,0.68,0.48,0.52
cbl_4o-mini33percent,0.97,0.76,0.76,0.57,0.72,0.72,0.92,0.94,0.74,0.69,0.83,0.90,0.69,0.61,0.83,0.78
cbl_4o-mini32percent,0.97,0.59,0.71,0.54,0.72,0.72,0.92,0.94,0.74,0.69,0.86,0.87,0.72,0.58,0.86,0.77
